,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
2428,2428,003515,国泰利是宝货币,货币型,2021-09-22,0.0,0.17,0.51,1.07,1.6
2434,2434,003525,兴银现金收益货币,货币型,2021-09-22,0.0,0.12,0.32,0.63,1.01
2440,2440,003534,浦银安盛日日丰货币A,货币型,2021-09-22,0.0,0.19,0.57,1.2,1.79
2441,2441,003535,浦银安盛日日丰货币B,货币型,2021-09-22,0.0,0.21,0.61,1.27,1.89
2442,2442,003537,招商招利宝货币A,货币型,2021-09-22,0.0,0.18,0.54,1.11,1.64
2443,2443,003538,招商招利宝货币B,货币型,2021-09-22,0.0,0.2,0.6,1.23,1.82
2444,2444,003539,安信现金增利货币B,货币型,2021-09-22,0.0,0.18,0.54,1.02,1.42
2468,2468,003585,先锋现金宝货币,货币型,2021-09-22,0.0,0.1,0.29,0.56,0.86
2471,2471,003588,东吴增鑫宝货币A,货币型,2021-09-22,0.0,0.16,0.46,0.93,1.44
2472,2472,003589,东吴增鑫宝货币B,货币型,2021-09-22,0.0,0.18,0.53,1.06,1.62
2527,2527,003678,中融现金增利货币A,货币型,2021-09-22,0.0,0.18,0.55,1.13,1.69
2528,2528,003679,中融现金增利货币C,货币型,2021-09-22,0.0,0.2,0.61,1.25,1.87
2542,2542,003711,泰达宏利京元宝货币A,货币型,2021-09-22,0.0,0.18,0.54,1.1,1.63
2543,2543,003712,泰达宏利京元宝货币B,货币型,2021-09-22,0.0,0.2,0.6,1.22,1.81
2569,2569,003752,工银如意货币A,货币型,2021-09-22,0.0,0.18,0.54,1.1,1.65
2570,2570,003753,工银如意货币B,货币型,2021-09-22,0.0,0.2,0.6,1.22,1.83
2585,2585,003792,民生加银现金宝货币C,货币型,2021-09-22,0.0,0.21,0.57,1.15,1.71
2639,2639,003871,华泰柏瑞天添宝货币B,货币型,2021-09-22,0.0,0.2,0.6,1.22,1.79
2690,2690,003994,华富货币B,货币型,2021-09-22,0.0,0.14,0.37,0.82,1.31
2691,2691,003997,泓德添利货币A,货币型,2021-09-22,0.0,0.14,0.42,0.87,1.32
2692,2692,003998,泓德添利货币B,货币型,2021-09-22,0.0,0.16,0.48,0.99,1.5
2722,2722,004060,博时兴盛货币B,货币型,2021-09-22,0.0,0.15,0.44,0.87,1.3
2727,2727,004072,金元顺安金通宝货币A,货币型,2021-09-22,0.0,0.12,0.35,0.71,1.04
2728,2728,004073,金元顺安金通宝货币B,货币型,2021-09-22,0.0,0.14,0.41,0.83,1.22
2731,2731,004077,金信民发货币A,货币型,2021-09-22,0.0,0.14,0.44,0.93,1.26
